序号,品名,别名,英文名,CAS号,危险性类别,备注,来源页面
766.0,2-氟甲苯,邻氟甲苯；邻甲基氟苯；2-甲 基氟苯,2-fluorotoluene;o-fluorotoluene;o-meth yl fluorobenzene;2-methyl fluorobenzene,95-52-3,"易燃液体,类别2",,104
767.0,3-氟甲苯,间氟甲苯；间甲基氟苯；3-甲 基氟苯,3-fluorotoluene;m-fluorotoluene;m-meth ylfluorobenzene;3-methylfluorobenzene,352-70-5,"易燃液体,类别2",,104
768.0,4-氟甲苯,对氟甲苯；对甲基氟苯；4-甲 基氟苯,4-fluorotoluene;p-fluorotoluene;p-meth yl fluorobenzene;4-methyl fluorobenzene,352-32-9,"易燃液体,类别2",,104
769.0,氟甲烷,R41；甲基氟,methyl fluoride;fluoromethane,593-53-3,"易燃气体,类别1 加压气体",,104
770.0,氟磷酸[无水],,"fluorophosphoric acid,anhydrous;monofluorophosphoric acid",13537-32-1,"皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,104
771.0,氟硼酸,,fluoroboric acid,16872-11-0,"皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1",,104
772.0,氟硼酸-3-甲基-4-(吡咯 烷-1-基)重氮苯,,3-methyl-4-(pyrrolidin-1-yl) benzenediazonium tetrafluoroborate,36422-95-4,"自反应物质和混合物,C型",,104
773.0,氟硼酸镉,,cadmium fluoborate,14486-19-2,"致癌性,类别1A 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,104
774.0,氟硼酸铅,,lead fluoborate,13814-96-5,"致癌性,类别1B 生殖毒性,类别1A 特异性靶器官毒性-反复接触,类别2 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,104
,氟硼酸铅溶液[含量＞ 28%],,lead fluoborate solution(more than 28%),,"生殖毒性,类别1A 特异性靶器官毒性-反复接触,类别2 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,104
775,氟硼酸锌,,zinc fluoborate,13826-88-5,"皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,105
776,氟硼酸银,,silver fluoborate,14104-20-2,"皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,105
777,氟铍酸铵,氟化铍铵,ammonium fluoroberyllate,14874-86-3,"急性毒性-经口,类别3 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 皮肤致敏物,类别1 致癌性,类别1A 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激） 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,105
