序号,品名,别名,英文名,CAS号,危险性类别,备注,来源页面
1302,硫酸,,sulphuric acid,7664-93-9,"皮肤腐蚀/刺激,类别1A 严重眼损伤/眼刺激,类别1",,177
1303,"硫酸-2,4-二氨基甲苯","2,4-二氨基甲苯硫酸","2,4-diaminotoluene sulfate;2,4-toluene diamine sulfate",65321-67-7,"急性毒性-经口,类别3* 严重眼损伤/眼刺激,类别2A 皮肤致敏物,类别1 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,177
1304,"硫酸-2,5-二氨基甲苯","2,5-二氨基甲苯硫酸","sulfuric acid -2,5 - diamino toluene;2,5-toluenediamine sulfate;2-methyl-p-phenylenediamine sulphate",615-50-9,"急性毒性-经口,类别3* 皮肤致敏物,类别1 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,177
1305,"硫 酸 -2,5- 二 乙 氧 基 -4-(4-吗啉基)-重氮苯",,"2,5-diethoxy-4-(4-morpholinyl)-benzene diazonium sulphate",32178-39-5,"自反应物质和混合物,D型",,177
1306,"硫酸-4,4'-二氨基联苯",硫酸联苯胺；联苯胺硫酸,"4,4’-diaminodiphenyl sulfate;benzidine sulfate;[[1,1'-biphenyl]-4,4'-diyl]dia mmonium sulphate",531-86-2,"危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,178
1307,"硫酸-4-氨基-N,N-二甲基 苯胺","N,N-二甲基对苯二胺硫酸；对 氨基-N,N-二甲基苯胺硫酸","4-amino-N,N-dimethylaniline sulfate;N,N-dimethyl-p-phenylenediamin e sulfate;p-amino-N,N-dimethylaniline sulfate",536-47-0,"急性毒性-经口,类别3 急性毒性-经皮,类别3 急性毒性-吸入,类别3 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激）",,178
1308,硫酸苯胺,,aniline sulfate,542-16-5,"危害水生环境-急性危害,类别1",,178
1309,硫酸苯肼,苯肼硫酸,phenylhydrazine sulfate;hydrazinobenzene sulfate,2545-79-1,"急性毒性-经口,类别3* 急性毒性-经皮,类别3* 急性毒性-吸入,类别3* 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 皮肤致敏物,类别1 生殖细胞致突变性,类别2 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1",,178
1310,硫酸对苯二胺,硫酸对二氨基苯,"p-phenylene diamine sulfate;1,4-diaminobenzene sulfate",16245-77-5,"危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,178
1311,硫酸二甲酯,硫酸甲酯,dimethyl sulphate;methyl sulfate,77-78-1,"急性毒性-经口,类别3* 急性毒性-吸入,类别2* 皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1 皮肤致敏物,类别1 生殖细胞致突变性,类别2 致癌性,类别1B 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激） 危害水生环境-急性危害,类别2",,178
1312,硫酸二乙酯,硫酸乙酯,diethyl sulphate,64-67-5,"急性毒性-经皮,类别3 皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1 生殖细胞致突变性,类别1B 致癌性,类别1B",,179
1313,硫酸镉,,cadmium sulphate,10124-36-4,"急性毒性-经口,类别3* 急性毒性-吸入,类别2* 生殖细胞致突变性,类别1B 致癌性,类别1A 生殖毒性,类别1B 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,179
1314,硫酸汞,硫酸高汞,mercury sulphate;mercury persulfate,7783-35-9,"急性毒性-经口,类别3 急性毒性-经皮,类别3 皮肤致敏物,类别1 特异性靶器官毒性-一次接触,类别1 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,179
1315,硫酸钴,,cobalt sulphate,10124-43-3,"呼吸道致敏物,类别1 皮肤致敏物,类别1 生殖细胞致突变性,类别2 致癌性,类别2 生殖毒性,类别1B 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,179
1316,硫酸间苯二胺,硫酸间二氨基苯,"m-phenylene diamine sulfate;1,3-diaminobenzene sulfate",541-70-8,"急性毒性-经口,类别3* 急性毒性-经皮,类别3* 急性毒性-吸入,类别3* 严重眼损伤/眼刺激,类别2 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,179
124,丙炔和丙二烯混合物[稳 定的],甲基乙炔和丙二烯混合物,"propyne and allene mixtures,stabilized;methylacetylene and propadiene mixture",59355-75-8,"易燃气体,类别1 加压气体 特异性靶器官毒性-一次接触,类别 3 （麻醉效应）",,17
125,丙炔酸,,propynoic acid,471-25-0,"易燃液体,类别3 急性毒性-经口,类别3 急性毒性-经皮,类别2 皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,17
126,丙酸,,propionic acid,79-09-4,"皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激）",,17
127,丙酸酐,丙酐,propionic anhydride,123-62-6,"皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1",,17
128,丙酸甲酯,,methyl propionate,554-12-1,"易燃液体,类别2",,17
129,丙酸烯丙酯,,allyl propionate,2408-20-0,"易燃液体,类别2",,17
130,丙酸乙酯,,ethyl propionate,105-37-3,"易燃液体,类别2",,17
131,丙酸异丙酯,丙酸-1-甲基乙基酯,isopropyl propionate,637-78-5,"易燃液体,类别2",,17
132,丙酸异丁酯,丙酸-2-甲基丙酯,isobutyl propionate,540-42-1,"易燃液体,类别3",,17
133,丙酸异戊酯,,isopentyl propionate,105-68-0,"易燃液体,类别3",,17
134,丙酸正丁酯,,n-butyl propionate,590-01-2,"易燃液体,类别3",,17
135,丙酸正戊酯,,pentyl propionate,624-54-4,"易燃液体,类别3",,17
136,丙酸仲丁酯,,sec-butyl propionate,591-34-4,"易燃液体,类别3",,17
1317,硫酸马钱子碱,二甲氧基士的宁硫酸盐,brucine sulfate;dimethoxy strychnine sulfate,4845-99-2,"急性毒性-经口,类别2* 急性毒性-吸入,类别2* 危害水生环境-长期危害,类别3",,180
1318,硫酸镍,,nickel sulphate,7786-81-4,"皮肤腐蚀/刺激,类别2 呼吸道致敏物,类别1 皮肤致敏物,类别1 生殖细胞致突变性,类别2 致癌性,类别1A 生殖毒性,类别1B 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,180
1319,硫酸铍,,beryllium sulfate,13510-49-1,"急性毒性-经口,类别3 急性毒性-吸入,类别1 皮肤致敏物,类别1 致癌性,类别1A 生殖毒性,类别2 特异性靶器官毒性-反复接触,类别1 特异性靶器官毒性-一次接触,类别1 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,180
1320,硫酸铍钾,,beryllium potassium sulfate,53684-48-3,"急性毒性-经口,类别3* 急性毒性-吸入,类别2* 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 皮肤致敏物,类别1 致癌性,类别1A 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激） 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,180
1321.0,硫酸铅[含游离酸＞3%],,"lead sulphate,with more than 3％ free acid",7446-14-2,"皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1 致癌性,类别1B 生殖毒性,类别1A 特异性靶器官毒性-反复接触,类别2 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,181
1322.0,硫酸羟胺,硫酸胲,bis(hydroxylammonium)sulphate;hydroxyl amine sulphate(2:1),10039-54-0,"金属腐蚀物,类别1 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 皮肤致敏物,类别1 特异性靶器官毒性-反复接触,类别2* 危害水生环境-急性危害,类别1",,181
1323.0,"硫酸氢-2-(N-乙羰基甲氨 基)-4-(3,4-二甲基苯磺 酰)重氮苯",,"2-(N,N-methylaminoethylcarbonyl)-4-(3, 4-dimethylphenylsulphonyl) benzenediazonium hydrogen sulphate",,"自反应物质和混合物,D型",,181
1324.0,硫酸氢铵,酸式硫酸铵,ammonium bisulfate;ammonium hydrogen sulfate,7803-63-6,"皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,181
1325.0,硫酸氢钾,酸式硫酸钾,potassium hydrogensulphate;potassium bisulfate,7646-93-7,"皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激）",,181
1326.0,硫酸氢钠,酸式硫酸钠,sodium hydrogensulphate;sodium bisulfate,7681-38-1,"严重眼损伤/眼刺激,类别1",,181
,硫酸氢钠溶液,酸式硫酸钠溶液,"sodium hydrogen sulfate,solution;sodium bisulfate,solution",,"严重眼损伤/眼刺激,类别1",,181
1327.0,硫酸三乙基锡,,triethyltin sulfate;triaethylzinnsulfat,57-52-3,"急性毒性-经口,类别2* 急性毒性-经皮,类别1 急性毒性-吸入,类别2* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",剧毒,181
1328,硫酸铊,硫酸亚铊,dithallium sulphate;thallic sulphate;thallium(Ⅰ)sulfate,7446-18-6,"急性毒性-经口,类别2* 皮肤腐蚀/刺激,类别2 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",剧毒,182
1329,硫酸亚汞,,mercurous sulfate,7783-36-0,"急性毒性-经口,类别3 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,182
1330,硫酸氧钒,硫酸钒酰,vanadyl sulfate;vanadyl sulphate;vanadium oxysulfate,27774-13-6,"急性毒性-经口,类别3 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,182
1331,硫酰氟,氟化磺酰,sulfuryl fluoride;sulphuryl difluoride,2699-79-8,"加压气体 急性毒性-吸入,类别3* 特异性靶器官毒性-反复接触,类别2* 危害水生环境-急性危害,类别1",,182
1332,"六氟-2,3-二氯-2-丁烯","2,3-二氯六氟-2-丁烯","hexafluoro-2,3-dichloro-2-butylene;2,3 -dichlorohexafluoro-2-butylene",303-04-8,"急性毒性-吸入,类别1",剧毒,182
1333,六氟丙酮,全氟丙酮,hexafluoroacetone;perfluorinated acetone,684-16-2,"加压气体 急性毒性-吸入,类别2 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 生殖毒性,类别2 特异性靶器官毒性-一次接触,类别1 特异性靶器官毒性-反复接触,类别1",,182
1334,六氟丙酮水合物,全氟丙酮水合物；水合六氟丙 酮,hexafluoroacetone hydrate;perfluoroacetone hydrate,13098-39-0,"皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 生殖毒性,类别2 特异性靶器官毒性-一次接触,类别1 特异性靶器官毒性-反复接触,类别1",,182
1335,六氟丙烯,全氟丙烯,hexafluoropropene;hexafluoropropylene; perfluoropropylene,116-15-4,"加压气体 特异性靶器官毒性-一次接触,类别1 特异性靶器官毒性-反复接触,类别1",,183
1336,六氟硅酸镁,氟硅酸镁,magnesium hexafluorosilicate;magnesium fluorosilicate,16949-65-8,"急性毒性-经口,类别3*",,183
1337,六氟合硅酸钡,氟硅酸钡,barium hexafluorosilicate;barium silicofluoride,17125-80-3,"急性毒性-经口,类别3 严重眼损伤/眼刺激,类别2 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激） 特异性靶器官毒性-反复接触,类别1",,183
1338,六氟合硅酸锌,氟硅酸锌,zinc hexafluorosilicate;zinc silicofluoride,16871-71-9,"急性毒性-经口,类别3 严重眼损伤/眼刺激,类别2 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激） 特异性靶器官毒性-反复接触,类别1",,183
1339,六氟合磷氢酸[无水],六氟代磷酸,"hexafluorophosphoric acid,anhydrous;hydrogen hexafluorophosphate",16940-81-1,"皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,183
1340,六氟化碲,,tellurium hexafluoride,7783-80-4,"加压气体 急性毒性-吸入,类别2",,183
1341,六氟化硫,,sulphur hexafluoride,2551-62-4,"加压气体 特异性靶器官毒性-一次接触,类别 3 （麻醉效应）",,183
1342,六氟化钨,,tungsten(Ⅵ)hexafluoride,7783-82-6,"加压气体 急性毒性-吸入,类别2",,183
1343,六氟化硒,,selenium hexafluoride,7783-79-1,"加压气体 急性毒性-吸入,类别1 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别1 特异性靶器官毒性-一次接触,类别1 特异性靶器官毒性-反复接触,类别1",,183
1344.0,六氟乙烷,R116；全氟乙烷,hexafluoroethane;freon 116;perfluoroethane,76-16-4,加压气体,,184
1345.0,"3,3,6,6,9,9- 六 甲 基 -1,2,4,5-四氧环壬烷[含 量52%～100%]",,"3,3,6,6,9,9-hexamethyl-1,2,4,5-tetraox acyclononane(not less than 52%)",22397-33-7,"有机过氧化物,B型",,184
,"3,3,6,6,9,9- 六 甲 基 -1,2,4,5-四氧环壬烷[含 量≤52%,含 A 型稀释剂 ≥48%]",,"3,3,6,6,9,9-hexamethyl-1,2,4,5-tetraox acyclononane(not more than 52%, and diluent type A not less than 48%)",,"有机过氧化物,D型",,184
,"3,3,6,6,9,9- 六 甲 基 -1,2,4,5-四氧环壬烷[含 量≤52%,含 B 型稀释剂 ≥48%]",,"3,3,6,6,9,9-hexamethyl-1,2,4,5-tetraox acyclononane(not more than 52%, and diluent type B not less than 48%)",,"有机过氧化物,D型",,184
1346.0,六甲基二硅醚,六甲基氧二硅烷,hexamethyldisiloxane;hexamethyloxydisi lane,107-46-0,"易燃液体,类别2 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,184
1347.0,六甲基二硅烷,,hexamethyldisilane,1450-14-2,"易燃液体,类别2",,184
1348.0,六甲基二硅烷胺,六甲基二硅亚胺,"1,1,1,3,3,3-hexamethyldisilazane;hexam ethyldisilylamine",999-97-3,"易燃液体,类别3 急性毒性-经皮,类别3 急性毒性-吸入,类别3 皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1 特异性靶器官毒性-一次接触,类别1 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激） 危害水生环境-长期危害,类别3",,184
1349.0,"六氢-3a,7a-二甲基-4,7- 环氧异苯并呋喃-1,3-二 酮",斑蝥素,"3a,7a-dimethylhexahydro-4,7-epoxy-2-be nzofuran-1,3-dione;cantharidin",56-25-7,"急性毒性-经口,类别2 急性毒性-吸入,类别3 皮肤腐蚀/刺激,类别2 特异性靶器官毒性-一次接触,类别 3(呼吸道刺激)",,184
1350,"六氯-1,3-丁二烯","六氯丁二烯；全氯-1,3-丁二 烯","hexachloro-1,3-butadiene;hexachlorobut adiene;hexachlorobuta-1,3-diene",87-68-3,"急性毒性-经口,类别3 急性毒性-吸入,类别1 皮肤致敏物,类别1 生殖细胞致突变性,类别2 生殖毒性,类别2 特异性靶器官毒性-一次接触,类别1 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,185
1351,"(1R,4S,4aS,5R,6R,7S,8S ,8aR)-1,2,3,4,10,10-六 氯 -1,4,4a,5,6,7,8,8a- 八氢-6,7-环氧-1,4,5,8- 二亚甲基萘[含量 2%～ 90%]",狄氏剂,dieldrin(not less than 2% but not more than 90%);compund 497,60-57-1,"急性毒性-经口,类别3* 急性毒性-经皮,类别1 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",剧毒,185
1352,"(1R,4S,5R,8S)-1,2,3,4, 10,10- 六 氯 -1,4,4a,5,6,7,8,8a- 八 氢-6,7-环氧-1,4,5,8-二 亚甲基萘[含量＞5%]",异狄氏剂,"1,2,3,4,10,10-hexachloro-6,7-epoxy-1,4 ,4a,5,6,7,8,8a-octahydro-1,4:5,8-dimet hanonaphthalene(more than 5%);endrin",72-20-8,"急性毒性-经口,类别2* 急性毒性-经皮,类别3* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",剧毒,185
1353,"1,2,3,4,10,10- 六 氯 -1,4,4a,5,8,8a- 六 氢 -1,4-挂-5,8-挂二亚甲基 萘[含量＞10%]",异艾氏剂,"(1α,4α,4aβ,5β,8β,8aβ)-1,2,3,4,10 ,10-hexachloro-1,4,4a,5,8,8a-hexahydro -1,4:5,8-dimethanonaphfthalenee(more than 10%);isodrin",465-73-6,"急性毒性-经口,类别2* 急性毒性-经皮,类别1 急性毒性-吸入,类别2* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",剧毒,185
1354,"1,2,3,4,10,10- 六 氯 -1,4,4a,5,8,8a- 六 氢 -1,4：5,8-桥,挂-二甲撑 萘[含量＞75%]",六氯-六氢-二甲撑萘；艾氏剂,"1,4:5,8-dimethanonaphthalene, 1,2,3,4,10,10-hexachloro-1,4,4a,5,8,8a -hexahydro- (more than 75%);hexachlorohexahydro-endo-exo-dime thanonaphthalene;aldrin",309-00-2,"急性毒性-经口,类别2 急性毒性-经皮,类别3* 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",剧毒,185
1355,"(1,4,5,6,7,7- 六 氯 -8,9,10-三降冰片-5-烯 -2,3-亚基双亚甲基)亚硫 酸酯","1,2,3,4,7,7- 六 氯 双 环 [2,2,1]庚烯-(2)-双羟甲基 -5,6-亚硫酸酯；硫丹","1,2,3,4,7,7-hexachloro-8,9,10-trinorbo rn-2-en-5,6-ylenedimethyl;endosulfan; sulphite;benzoepin",115-29-7,"急性毒性-经口,类别2* 急性毒性-吸入,类别2* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,186
1356,六氯苯,六氯代苯；过氯苯；全氯代苯,hexachlorobenzene,118-74-1,"致癌性,类别2 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,186
1357,六氯丙酮,,hexachloroacetone,116-16-5,"危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,186
1358,六氯环戊二烯,全氯环戊二烯,hexachlorocyclopentadiene;perchlorocyc lopentadiene,77-47-4,"急性毒性-经皮,类别3* 急性毒性-吸入,类别2* 皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",剧毒,186
1359,α-六氯环己烷,,alpha-hexachlorocyclohexane,319-84-6,"急性毒性-经口,类别3 急性毒性-经皮,类别3 生殖毒性,类别2 特异性靶器官毒性-反复接触,类别2 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,186
1360,β-六氯环己烷,,beta-hexachlorocyclohexane,319-85-7,"急性毒性-经口,类别3 急性毒性-经皮,类别3 生殖毒性,类别2 特异性靶器官毒性-反复接触,类别2 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,186
1361,"γ-(1,2,4,5/3,6)- 六 氯 环己烷",林丹,"γ-1,2,3,4,5,6-hexachlorocyclohexane;l indane;lindane;γ-HCH;γ-HCH or γ-BHC",58-89-9,"急性毒性-经口,类别3* 生殖毒性,附加类别 特异性靶器官毒性-反复接触,类别2* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,187
1362,"1,2,3,4,5,6-六氯环己烷",六氯化苯；六六六,"1,2,3,4,5,6-hexa-chlorocyclohexane;ben zene hexachloride",608-73-1,"急性毒性-经口,类别3 急性毒性-经皮,类别3 急性毒性-吸入,类别3 致癌性,类别2 生殖毒性,类别2 特异性靶器官毒性-一次接触,类别1 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,187
1363,六氯乙烷,全氯乙烷；六氯化碳,hexachloroethane;perchlorethylene,67-72-1,"严重眼损伤/眼刺激,类别2B 致癌性,类别2 特异性靶器官毒性-反复接触,类别2 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,187
1364,"六硝基-1,2-二苯乙烯",六硝基芪,"hexanitro-1,2-diphenylethylene;hexanit rostilbene",20062-22-0,"爆炸物,1.1项",,187
1365,六硝基二苯胺,六硝炸药；二苦基胺,"hexanitrodiphenylamine;dipicrylamine;b is(2,4,6-trinitrophenyl)amine;hexyl",131-73-7,"爆炸物,1.1项 急性毒性-经口,类别2* 急性毒性-经皮,类别1 急性毒性-吸入,类别2* 特异性靶器官毒性-反复接触,类别2 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,187
1366,六硝基二苯胺铵盐,曙黄,dipicrylamine ammonium salt,2844-92-0,"爆炸物,1.1项 急性毒性-经口,类别2* 急性毒性-经皮,类别1 急性毒性-吸入,类别2* 特异性靶器官毒性-反复接触,类别2 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,188
1367,六硝基二苯硫,二苦基硫,hexanitro diphenyl sulfide;dipicryl sulfide,28930-30-5,"爆炸物,1.1项",,188
1368,六溴二苯醚,,hexabromodiphenyl ethers,36483-60-0,"严重眼损伤/眼刺激,类别2B 生殖毒性,类别1B",,188
1369,"2,2’,4,4’,5,5’-六溴 二苯醚",,"2,2',4,4',5,5'-hexabromodiphenyl ether",68631-49-2,"生殖毒性,类别1B",,188
1370,"2,2’,4,4’,5,6’-六溴 二苯醚",,"2,2',4,4',5,6'-hexabromodiphenyl ether",207122-15-4,"生殖毒性,类别1B",,188
1371,六溴环十二烷,,Hexabromocyclododecane;HBCDD,,"生殖毒性,类别2 生殖毒性,附加类别 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,188
1372,六溴联苯,,hexabromobiphenyl,36355-01-8,"致癌性,类别1B 生殖毒性,类别2",,188
1373,六亚甲基二异氰酸酯,"六甲撑二异氰酸酯；1,6-二异 氰酸己烷；己撑二异氰酸酯； 1,6-己二异氰酸酯","hexamethylene-di-isocyanate;hexamethyl ene diisocyanate;hexamethylene-1,6-diisocy anate;1,6-diisocyantohexane",822-06-0,"急性毒性-吸入,类别3* 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 呼吸道致敏物,类别1 皮肤致敏物,类别1 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激）",,188
1374.0,"N,N-六亚甲基硫代氨基甲 酸-S-乙酯",禾草敌,(S)-ethyl 1-perhydroazepinecarbothioate;molinate,2212-67-1,"皮肤致敏物,类别1 生殖毒性,类别2 特异性靶器官毒性-反复接触,类别2* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,189
1375.0,六亚甲基四胺,六甲撑四胺；乌洛托品,hexamethylenetetramine;hexamine;urotro pine;methenamine,100-97-0,"易燃固体,类别2 皮肤致敏物,类别1 危害水生环境-急性危害,类别2",,189
1376.0,六亚甲基亚胺,高哌啶,hexamethyleneimine;homopiperidine;perh ydroazepine,111-49-9,"易燃液体,类别2 急性毒性-经口,类别2 急性毒性-吸入,类别3 皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1 特异性靶器官毒性-一次接触,类别2",,189
1377.0,铝粉,,aluminium powder,7429-90-5,"（1）有涂层： 易燃固体,类别1 （2）无涂层： 遇水放出易燃气体的物质和混合物, 类别2",,189
1378.0,铝镍合金氢化催化剂,,Al-Ni hydrofining catalyst,,"易燃固体,类别2 致癌性,类别2",,189
1379.0,铝酸钠[固体],,"sodium aluminate,solid",1302-42-7,"皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,189
,铝酸钠[溶液],,sodium aluminate solution,,"皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,189
1380.0,铝铁熔剂,,thermite,,"易燃固体,类别2",,189
1381.0,氯,液氯；氯气,chlorine;liquid chlorine,7782-50-5,"加压气体 急性毒性-吸入,类别2 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激） 危害水生环境-急性危害,类别1",剧毒,189
137,丙酮,二甲基酮,acetone;propanone;dimethyl ketone,67-64-1,"易燃液体,类别2 严重眼损伤/眼刺激,类别2 特异性靶器官毒性-一次接触,类别 3 （麻醉效应）",,18
138,丙酮氰醇,丙酮合氰化氢；2-羟基异丁 腈；氰丙醇,acetone cyanohydrin;2-hydroxy-2-methylpropioni trile;2-cyanopropan-2-ol;acetone cyanohydrin;2-hydroxyisobutyronitrile; 2-methyllactonitrile,75-86-5,"急性毒性-经口,类别2* 急性毒性-经皮,类别1 急性毒性-吸入,类别2* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",剧毒,18
139,丙烷,,propane,74-98-6,"易燃气体,类别1 加压气体",,18
140,丙烯,,propene;propylene,115-07-1,"易燃气体,类别1 加压气体",,18
141,2-丙烯-1-醇,烯丙醇；蒜醇；乙烯甲醇,2-propen-1-ol;allyl alcohol;vinylcarbinol,107-18-6,"易燃液体,类别2 急性毒性-经口,类别3 急性毒性-经皮,类别1 急性毒性-吸入,类别2 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激） 危害水生环境-急性危害,类别1",剧毒,18
142,2-丙烯-1-硫醇,烯丙基硫醇,2-propene-1-thiol;allyl mercaptan,870-23-5,"易燃液体,类别2 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2A 特异性靶器官毒性-一次接触,类别 3 （麻醉效应）",,18
1382,"1-氯-1,1-二氟乙烷",R142；二氟氯乙烷,"1-chloro-1,1-difluoroethane;R142;chlor odifluoroethane",75-68-3,"易燃气体,类别1 加压气体 严重眼损伤/眼刺激,类别2B 危害水生环境-长期危害,类别3 危害臭氧层,类别1",,190
1383,"3-氯-1,2-丙二醇","α-氯代丙二醇；3-氯-1,2-二 羟基丙烷；α-氯甘油；3-氯 代丙二醇","3-chloro-1,2-propanediol;α-chlorohydr in;3-chloro-1,2-dihydroxypropane;3-chl oropropylene glycol",96-24-2,"急性毒性-经口,类别3 急性毒性-吸入,类别2 严重眼损伤/眼刺激,类别2A 致癌性,类别2 生殖毒性,类别1B 特异性靶器官毒性-一次接触,类别1 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激） 特异性靶器官毒性-反复接触,类别1",,190
1384,"2-氯-1,3-丁二烯[稳定 的]",氯丁二烯,"2-chlorobuta-1,3-diene,stabilized;chlo roprene",126-99-8,"易燃液体,类别2 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 致癌性,类别2 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激） 特异性靶器官毒性-反复接触,类别2*",,190
1385,2-氯-1-丙醇,2-氯-1-羟基丙烷,2-chloro-1-hydroxy propane;propylene chlorohydrin,78-89-7,"易燃液体,类别3 急性毒性-经口,类别3 急性毒性-经皮,类别3 急性毒性-吸入,类别2",,190
1386,3-氯-1-丙醇,三亚甲基氯醇,3-chloro-1-propanol;trimethylene chlorohydrin,627-30-5,"急性毒性-经口,类别3 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 特异性靶器官毒性-一次接触,类别 3(呼吸道刺激)",,190
1387,3-氯-1-丁烯,,3-chloro-1-butene,563-52-0,"易燃液体,类别2",,190
1388,1-氯-1-硝基丙烷,1-硝基-1-氯丙烷,1-chloro-1-nitropropane;1-nitro-1-chlo ropropane,600-25-9,"严重眼损伤/眼刺激,类别2A 特异性靶器官毒性-一次接触,类别2",,191
1389,2-氯-1-溴丙烷,1-溴-2-氯丙烷,2-chloro-1-bromopropane;1-bromo-2-chlo ropropane,3017-96-7,"易燃液体,类别3 急性毒性-吸入,类别3",,191
